density,leniency,index,performance
14,1,0,0.0
14,1,1,0.0
14,1,2,0.5714285714285714
26,2,0,0.0
26,2,1,0.0
26,2,2,0.5714285714285714
11,4,0,0.0
11,4,1,0.0
11,4,2,0.7142857142857143
20,8,0,0.0
20,8,1,0.0
20,8,2,0.5357142857142857
12,6,0,0.0
12,6,1,0.0
12,6,2,0.7142857142857143
10,1,0,0.0
10,1,1,0.0
10,1,2,0.5357142857142857
9,2,0,0.0
9,2,1,0.0
9,2,2,0.6785714285714286
7,0,0,0.0
7,0,1,0.0
7,0,2,0.75
22,5,0,0.0
22,5,1,0.0
22,5,2,0.75
20,5,0,0.0
20,5,1,0.0
20,5,2,0.5
19,4,0,0.0
19,4,1,0.0
19,4,2,0.75
19,1,0,0.0
19,1,1,0.0
19,1,2,0.6428571428571428
9,5,0,0.0
9,5,1,0.0
9,5,2,0.4285714285714286
14,3,0,0.0
14,3,1,0.0
14,3,2,0.8214285714285714
27,4,0,0.0
27,4,1,0.0
27,4,2,0.7142857142857143
21,3,0,0.0
21,3,1,0.0
21,3,2,0.8214285714285714
20,2,0,0.0
20,2,1,0.0
20,2,2,0.8214285714285714
22,2,0,0.0
22,2,1,0.0
22,2,2,0.75
22,3,0,0.0
22,3,1,0.0
22,3,2,0.8214285714285714
32,1,0,0.0
32,1,1,0.0
32,1,2,0.8214285714285714
5,2,0,0.0
5,2,1,0.0714285714285714
5,2,2,0.8214285714285714
35,3,0,0.2142857142857143
35,3,1,0.3928571428571429
35,3,2,0.8214285714285714
31,3,0,0.0
31,3,1,0.0357142857142857
31,3,2,0.8214285714285714
9,4,0,0.0
9,4,1,0.0
9,4,2,0.7142857142857143
20,7,0,0.0
20,7,1,0.0
20,7,2,0.5714285714285714
19,0,0,0.0
19,0,1,0.0
19,0,2,0.5357142857142857
23,6,0,0.0
23,6,1,0.0
23,6,2,0.7142857142857143
17,8,0,0.0357142857142857
17,8,1,0.1428571428571429
17,8,2,0.8214285714285714
24,1,0,0.0
24,1,1,0.0
24,1,2,0.6785714285714286
16,1,0,0.0
16,1,1,0.0
16,1,2,0.6071428571428572
27,3,0,0.0
27,3,1,0.0
27,3,2,0.5357142857142857
18,2,0,0.0
18,2,1,0.0
18,2,2,0.6071428571428572
21,6,0,0.0
21,6,1,0.0
21,6,2,0.75
22,4,0,0.0
22,4,1,0.0
22,4,2,0.6428571428571428
13,1,0,0.0
13,1,1,0.0
13,1,2,0.1071428571428571
25,2,0,0.0
25,2,1,0.0
25,2,2,0.0
10,3,0,0.0
10,3,1,0.0
10,3,2,0.0
13,2,0,0.0
13,2,1,0.0
13,2,2,0.7142857142857143
15,6,0,0.0
15,6,1,0.0
15,6,2,0.5
10,5,0,0.0
10,5,1,0.0
10,5,2,0.6785714285714286
21,2,0,0.0
21,2,1,0.0
21,2,2,0.8214285714285714
27,2,0,0.0
27,2,1,0.0
27,2,2,0.0
22,0,0,0.0
22,0,1,0.0
22,0,2,0.6428571428571428
19,7,0,0.0
19,7,1,0.0
19,7,2,0.6785714285714286
6,1,0,0.0
6,1,1,0.0
6,1,2,0.7142857142857143
12,2,0,0.0
12,2,1,0.0
12,2,2,0.8214285714285714
9,3,0,0.0
9,3,1,0.0
9,3,2,0.6785714285714286
11,6,0,0.0
11,6,1,0.0
11,6,2,0.8214285714285714
7,3,0,0.0
7,3,1,0.0
7,3,2,0.8214285714285714
20,3,0,0.0
20,3,1,0.0
20,3,2,0.4285714285714286
16,2,0,0.0
16,2,1,0.0
16,2,2,0.75
26,3,0,0.0
26,3,1,0.0
26,3,2,0.7142857142857143
15,3,0,0.0
15,3,1,0.0
15,3,2,0.5357142857142857
12,4,0,0.0
12,4,1,0.0
12,4,2,0.8214285714285714
14,2,0,0.0
14,2,1,0.0
14,2,2,0.5357142857142857
24,8,0,0.0
24,8,1,0.0
24,8,2,0.75
23,2,0,0.0
23,2,1,0.0
23,2,2,0.75
36,4,0,0.0
36,4,1,0.2142857142857143
36,4,2,0.9642857142857143
28,6,0,0.0
28,6,1,0.0
28,6,2,0.75
11,3,0,0.0
11,3,1,0.0
11,3,2,0.75
17,5,0,0.0
17,5,1,0.0
17,5,2,0.8214285714285714
8,2,0,0.0
8,2,1,0.0
8,2,2,0.75
8,3,0,0.0
8,3,1,0.0
8,3,2,0.6785714285714286
31,2,0,0.0
31,2,1,0.0
31,2,2,0.5714285714285714
23,0,0,0.0
23,0,1,0.0
23,0,2,0.6071428571428572
34,6,0,0.0
34,6,1,0.1071428571428571
34,6,2,0.7142857142857143
9,7,0,0.0
9,7,1,0.0
9,7,2,0.6785714285714286
37,4,0,0.25
37,4,1,0.4285714285714286
37,4,2,0.6428571428571428
15,1,0,0.0
15,1,1,0.0
15,1,2,0.1428571428571429
26,4,0,0.0
26,4,1,0.0
26,4,2,0.6428571428571428
28,5,0,0.0
28,5,1,0.0
28,5,2,0.5714285714285714
20,1,0,0.0
20,1,1,0.0
20,1,2,0.5
12,1,0,0.0
12,1,1,0.0
12,1,2,0.3571428571428571
24,2,0,0.0
24,2,1,0.0
24,2,2,0.7857142857142857
19,9,0,0.0
19,9,1,0.1071428571428571
19,9,2,0.8214285714285714
16,4,0,0.0
16,4,1,0.0
16,4,2,0.8214285714285714
25,4,0,0.0
25,4,1,0.0
25,4,2,0.6785714285714286
13,6,0,0.0
13,6,1,0.0
13,6,2,0.75
23,7,0,0.0
23,7,1,0.0
23,7,2,0.6785714285714286
10,0,0,0.0
10,0,1,0.0
10,0,2,0.25
14,5,0,0.0
14,5,1,0.0
14,5,2,0.2857142857142857
11,1,0,0.0
11,1,1,0.0
11,1,2,0.8214285714285714
13,3,0,0.0
13,3,1,0.0
13,3,2,0.7142857142857143
26,5,0,0.0
26,5,1,0.0
26,5,2,0.8214285714285714
20,4,0,0.0
20,4,1,0.0
20,4,2,0.75
6,2,0,0.0
